X,Y,fid,codi_centre,tipus_centre,nom_centre,nom_municipi,nom_naturalesa,al_eso_n1,al_eso_n2,al_eso_n3,al_eso_n4,gr_eso_n1,gr_eso_n2,gr_eso_n3,gr_eso_n4,icon_url
1.28355402858749,41.1274144658519,1083,"43003707",,Mare Nostrum,Tarragona,Privat,30,29,30,28,1,1,1,1,./0.png
1.25288048249265,41.1172602619904,1084,"43003732",Institut,Pons d'Icart,Tarragona,Públic,90,86,88,92,3,3,3,3,./0.png
1.21305520058237,41.1198488685279,1085,"43003793",,La Salle Torreforta,Tarragona,Privat,55,66,58,59,2,2,2,2,./0.png
0.522993257106197,40.8099096714722,1086,"43004311",,Nuestra Señora de la Consolación,Tortosa,Privat,30,28,32,26,1,1,1,1,./0.png
0.51855588659444,40.8063956811718,1087,"43004372",,Teresià,Tortosa,Privat,30,32,34,30,1,1,1,1,./0.png
0.525417929814037,40.8077517441705,1088,"43004402",,Sagrada Família,Tortosa,Privat,78,94,95,91,3,3,3,3,./0.png
0.514513069604247,40.8125694911104,1089,"43004438",Institut,Dertosa,Tortosa,Públic,122,126,131,146,4,4,4,5,./0.png
1.248366279512,41.285264940686,1090,"43004554",,Cor de Maria,Valls,Privat,61,61,62,61,2,2,2,2,./0.png
1.25334860558269,41.289621669844,1091,"43004581",,Claret,Valls,Privat,60,64,60,51,2,2,2,2,./0.png
1.25716209533602,41.2914221939374,1092,"43004608",Institut,Narcís Oller,Valls,Públic,123,125,128,128,4,4,4,4,./0.png
1.24638518505457,41.2893363695931,1093,"43004611",Institut,Jaume Huguet,Valls,Públic,120,127,129,128,4,4,4,4,./0.png
1.53712427363694,41.2236318214256,1094,"43004761",,Sagrat Cor,El Vendrell,Privat,86,91,92,89,3,3,3,3,./0.png
1.52561769681974,41.2133314354238,1095,"43004797",Institut,Baix Penedès,El Vendrell,Públic,110,95,118,122,4,3,4,4,./0.png
1.52290940018856,41.2140437447209,1096,"43004803",Institut,Andreu Nin,El Vendrell,Públic,90,123,116,120,3,4,4,4,./0.png
1.12675994444939,41.0869283028778,1097,"43004967",,Elisabeth,Salou,Privat,94,99,93,89,3,3,3,3,./0.png
1.1809210363503,41.1323970346541,1098,"43005820",,Institució Tarragona,Reus,Privat,81,109,95,84,3,4,4,3,./0.png
1.15007556293255,41.1015000334137,1099,"43005972",Institut,Ramon Barbat i Miracle,Vila-seca,Públic,143,150,144,153,5,5,5,5,./0.png
1.21103375639924,41.1239404283001,1100,"43006125",Institut,Campclar,Tarragona,Públic,108,137,122,116,4,5,4,5,./0.png
1.61688112283682,41.2909494237288,1101,"43006290",,Esc.Fam.Agr.Campjoliu,L'Arboç,Privat,125,114,117,121,,,,,./0.png
0.441162844299317,40.5994260535276,1102,"43006496",Institut,Manuel Sales i Ferré,Ulldecona,Públic,73,93,74,59,3,3,3,2,./0.png
1.09213463148912,41.394304749682,1103,"43006617",Institut,Joan Amigó i Callau,L'Espluga de Francolí,Públic,61,36,44,48,2,2,2,2,./0.png
0.439372090405082,41.0577412050001,1104,"43006642",Institut,Terra Alta,Gandesa,Públic,86,78,88,85,3,3,3,3,./0.png
1.05670797186779,41.0704754429464,1105,"43006654",Institut,Cambrils,Cambrils,Públic,85,90,90,94,3,3,3,3,./0.png
1.11655658651058,41.1609178806716,1106,"43006678",Institut,Gabriel Ferrater i Soler,Reus,Públic,125,124,132,154,4,4,4,5,./0.png
0.284354234560444,40.6395071515624,1107,"43006681",Institut,de La Sénia,La Sénia,Públic,75,77,79,53,3,3,3,2,./0.png
0.824373353538265,41.1543736100142,1108,"43006691",Institut,Priorat,Falset,Públic,66,61,72,68,3,2,3,3,./0.png
